,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
112,PVV,2022,2022-12-21,Laat ze er niet mee wegkomen.Het is politieke piraterij. Elkaar de hand boven het hoofd houden.Schimmige stinkende dealtjes. Maffiapraktijken. Nederland verdient beter.Stem ze weg op 15 maart.#mondkapjesdeal #stemzeweg #nieuweverkiezingen #mondkapjesaffaire,yes,opposition,right,conservative
113,ChristenUnie,2022,2022-06-04,Vandaag zijn minister Carola Schouten en onze Tweede Kamerleden @gertjansegers en @DonCeder bij onze stand te vinden @opwekking. #opwekking #opwekking2022 https://t.co/xwP9ExQ4ks,no,opposition,left,middle
114,BBB,2023,2023-02-05,@JBredenbeek @BramDerikx @eddie_marum @DerkBoswijk Welke wet is volgens jou aangepast en wanneer?,yes,opposition,right,conservative
115,BBB,2022,2022-08-31,"KDW mogelijk wél uit de wet? Komt het gezond verstand eindelijk bovendrijven? BBB vraagt hier al heel lang om. “Kan niet, mag niet”, luidde het antwoord. ‘Door hier eerder op in te zetten had veel ellende kunnen worden voorkomen.’ aldus @lientje1967 https://t.co/s6dyf6MJBk https://t.co/cHwywow9q7",yes,opposition,right,conservative
116,BBB,2022,2022-06-19,Zeer interessant draadje https://t.co/LvPzosS46S,yes,opposition,right,conservative
117,PVV,2023,2023-01-21,"De VVD haat mij zoveel dat ze een veroordeelde moslimterrorist in huis (de Tweede Kamer) halen die lid was van een terroristische organisatie die me wilde vermoorden. Een oorlogsverklaring aan de leider van de PVV. Dank, Nausicaa Marbe 👇https://t.co/aq0S27FdvZ via @telegraaf",yes,opposition,right,conservative
118,VVD,2022,2022-12-10,"""Dat peperden ze ons in. Dat iedereen recht heeft op verdediging. En iemand die heel anders over dingen denkt dan jij, heeft ook recht op vrijheid van meningsuiting.""Lees hier het hele interview met Minister van Justitie en Veiligheid @DilanYesilgoz. 👇https://t.co/eckB1fu7I9 https://t.co/K2jpsxBYiu",no,coalition,right,conservative
119,CDA,2023,2023-01-16,"""Onze democratie is geen rustig bezit.""@HankeBruinsSlot komt daarom met een wet die de democratie beter moet beschermen. Om in de toekomst te zorgen dat we in vrijheid onze stem kunnen uitbrengen moeten we er nu samen over in gesprek gaan. #minderikmeerwij https://t.co/0qfQ8xvX3Y",no,coalition,middle,conservative
120,PVV,2022,2022-12-03,Succes zo @OnsOranje !#NEDUSA #WorldCup2022 https://t.co/rtNVM1kgnA,yes,opposition,right,conservative
121,FvD,2022,2022-05-29,Het is schandalig hoe dit kabinet met onze boeren omgaat. Ze worden voor veel te weinig geld uitgekocht of zelfs onteigend. Waarom? Zodat hun grond kan worden volgebouwd met windturbines en zonnepanelen. #FVD wil stoppen met de klimaatgekte en onze boeren weer laten boeren. https://t.co/3r1OSGBXrb,yes,opposition,right,conservative
122,BBB,2022,2022-04-12,@klaussiewaussie @lientje1967 Kletspraat,yes,opposition,right,conservative
123,BBB,2023,2023-01-27,@ben_derksen Wij houden van dieren ja,yes,opposition,right,conservative
124,D66,2022,2022-02-17,@CramerHanneke @BaarnD66 Daar is inderdaad geen twijfel over mogelijk! ^Kim https://t.co/xOfFPlerMr,no,coalition,middle,progressive
125,D66,2023,2023-02-27,"D66 knokt voor de natuur. Waar andere partijen wegkijken, maken wij échte keuzes. Problemen negeren is geen optie. Stop stilstand. Stem vooruit. #StemD66 https://t.co/Vf5d2SxlDC",no,coalition,middle,progressive
126,BBB,2022,2022-03-11,"Het zou ondernemers enorm helpen om rode diesel weer toe laten, omdat die nog een lagere accijns heeft dan gewone diesel. Bovenop de aangekondigde accijnsverhoging, zouden agrarische, bouw- en waterwegondernemers nog meer geholpen zijn omdat dit een extra verlaging betekent.2/3",yes,opposition,right,conservative
127,DENK,2022,2022-04-29,DENK ging van coronadebatten naar het eisen van gerechtigheid voor gedupeerde toeslagengezinnen en de overheid maakt onderscheid tussen #vluchtelingen. Ook ging de beerput bij de #Belastingdienst verder open. Dit is DENK-maandoverzicht april!https://t.co/tZeYc8oohY https://t.co/Goba1CuVoT,no,opposition,left,progressive
128,FvD,2022,2022-05-01,"In een uitgebreid interview met Karel van Wolferen bespreekt @thierrybaudet de ontwikkelingen op het wereldtoneel. Met het mes op tafel discussiëren zij over de EU, de NAVO en nog veel meer. Onze visie in één interview - kijken dus! https://t.co/LTwFtIHBqj",yes,opposition,right,conservative
129,PvdA,2023,2023-01-19,"Eén blok, met één doel: een sociale toekomst voor iedereen. 🌹🌱‘Kuiken hoopt op meer: linkse blokvorming ook bij verkiezingen voor de Tweede Kamer.’ ⁦⁦@volkskrant⁩  https://t.co/0yDV7qBfZp",no,opposition,left,progressive
130,DENK,2022,2022-11-30,"Tijdens het debat over onderwijs voor vluchtelingen, ging PVV'er Beertema over de schreef door zich onfatsoenlijk te uiten in de richting van DENK-Kamerlid @StephanvBaarle. Gelukkig wist Stephan hem nog een lesje Nederlandse gedragsnormen weten te leren. https://t.co/OpYleCpzlK",no,opposition,left,progressive
131,DENK,2022,2022-06-14,@ChristenvDENK Geen weldenkend mens kan dit gadeslaan en dit niet veroordelen. Hartverscheurend en onacceptabel! M,no,opposition,left,progressive
132,PVV,2022,2022-06-22,De stikstofplannen moeten helemaal van tafel. Niet stikstof maar de boerenhaat van dit kabinet maakt Nederland kapot. Ze willen boeren wegpesten en op hun grond zullen dadelijk wel nieuwe assielzoekerscentra worden gebouwd. Waanzin. Laat de boeren #boeren!#boerenprotest https://t.co/4UuLDfzh6e,yes,opposition,right,conservative
133,FvD,2022,2022-04-07,"Het onderzoek naar de #mondkapjesdeal wordt gedaan door Deloitte, in opdracht van VWS. Daardoor heeft de Kamer er geen controle over. Een #FVD-motie om het onderzoek te laten doen door de Algemene Rekenkamer, waardoor de Kamer wél controle zou hebben werd weggestemd door de VVD. https://t.co/QckPZpPrdJ",yes,opposition,right,conservative
134,BBB,2022,2022-08-10,@DerkBoswijk @andrehoogendijk @RobertEllenkamp @ministerlnv @PieterOmtzigt Stoppers in de toekomst vastleggen en dus voorsorteren op toekomstige reductie is nou net waarom we met die PAS knelgevallen zitten. Oerdom.,yes,opposition,right,conservative
135,BBB,2023,2023-01-18,De burger hoeft niet de problemen in het publieke net op te lossen. Al 10 jaar stimuleren we het plaatsen van zonnepanelen en er was de tijd om het netwerk hier op voor te bereiden [..] Laten we energie en geld steken in de infrastructuur. Houdt de #salderingsregeling overeind! https://t.co/HFYPVsJRQw,yes,opposition,right,conservative
136,GroenLinks,2022,2022-02-12,Welkom Esmah! ❤️💚#GroenLinksCongres,no,opposition,left,progressive
137,JA21,2022,2022-08-07,De #energierekening wordt onbetaalbaar! Het kabinet weigert om ook maar iets voor de eigen bevolking te betekenen. #JA21 wil dat de gaswinning in Groningen hervat wordt. Met de extra opbrengsten moeten Nederlanders gecompenseerd worden voor de torenhoge extra lasten. https://t.co/UWdvGIMjyt,yes,opposition,right,conservative
138,VVD,2022,2022-06-10,"""We moeten criminele netwerken verstoren dat het niet meer loont om naar Nederland te komen, door meer geld af te pakken en criminele verdienmodellen te doorbreken.""Minister van Justitie en Veiligheid @DilanYesilgoz in de Telegraaf. 👇https://t.co/VwHv299bMG",no,coalition,right,conservative
139,GroenLinks,2022,2022-05-24,Ook werken bij GroenLinks? ❤️💚,no,opposition,left,progressive
140,BBB,2022,2022-10-28,Onze voorlopige kandidatenlijst voor Noord-Holland https://t.co/00o17BA5ci,yes,opposition,right,conservative
141,BBB,2022,2022-10-04,@BasvE4 @lientje1967 De meeste bedrijven kunnen niet eens overstappen van gas naar elektrisch omdat de wachttijd bij de netbeheerder 2 jaar is. En brood kun je nou eenmaal niet op een lagere temperatuur bakken bijvoorbeeld...,yes,opposition,right,conservative
142,BBB,2022,2022-07-25,@Pathar19812021 @lientje1967 @PieterOmtzigt Bij de toeslagenaffaire leek dat ook zo te zijn... Maar de ervaring leert dat elke nieuwe set goede vragen en de antwoorden hierop een grotere scheur in de coalitie trekken. De waarheid kan men dan niet langer blijven negeren..,yes,opposition,right,conservative
143,SP,2023,2023-02-09,Kijktip! 📺Vanavond is @MarijnissenL bij @Hlf8Live over de Provinciale Statenverkiezingen.Kijk mee vanaf 19.30 uur op @SBS6. https://t.co/KTytcKRzzj,yes,opposition,left,progressive
144,PvdD,2023,2023-02-25,"Vandaag presenteert @estherouwehandpvdd ons manifest voor het platteland! Want ons platteland heeft meer boeren nodig, meer natuur, de gezondheid van mensen moet op 1 en wonen moet weer mogelijk worden voor iedereen. Kijk om 14.30 mee met de livestream 👉 https://t.co/xKocailMTx https://t.co/8D2xByA9UW",no,opposition,left,progressive
145,BBB,2022,2022-11-18,"Ondernemers van Nederland, Bedankt voor je veerkracht, je inzet en je adaptieve vermogen. Bedankt voor het 24/7 harde werken. Voor je bedrijf, voor je werknemers en voor ons mooie Nederland. Als kloppend hart van Nederland houden jullie ons land draaiende. Bedankt daarvoor! https://t.co/G7nbIzXeTJ",yes,opposition,right,conservative
146,VVD,2022,2022-11-24,✅ Sneller optreden tegen overlastgevende asielzoekers. ✅ Kansarme asielzoekers naar sobere opvang. ✅ Ernstige overlastgevers verplaatsen naar gesloten opvanglocaties. Staatssecretaris van Justitie en Veiligheid @ericvanderburg in de Telegraaf. 👇 https://t.co/OnOOtaIncp,no,coalition,right,conservative
147,BBB,2022,2022-07-02,"@jegeersing @Pieter_Grinwis @ProvincieFL Oftewel, punt 2 en 8 uit ons plan.https://t.co/yBTmsSdaQz",yes,opposition,right,conservative
148,D66,2022,2022-03-16,✅ Essay inleveren ✅ Sporten✅ Eten⚪️ D66 stemmen Is jouw takenlijst al klaar vandaag? Of ben je nog vergeten te stemmen? Wij voeren nog even campagne!#stemD66 #GR2022 https://t.co/5h5bwXTxNz,no,coalition,middle,progressive
149,JA21,2022,2022-03-17,JA21 wil armoede bestrijden en schulden terugdringen door zelfredzaamheid te bevorderen. Het is bovendien wrang dat armoede een bedrijfstak is geworden. Handel in schuld als verdienmodel. Wij willen af van de incasso-cowboys in NL. @MGoudzwaard058 over Armoede- &amp; Schuldenbeleid. https://t.co/ROvE0IIHDx,yes,opposition,right,conservative
150,BBB,2022,2022-09-03,"@allardkamermans Juist. Waar een wil is, is een weg.",yes,opposition,right,conservative
151,JA21,2023,2023-02-10,"De hoofdthema’s voor JA21 deze campagne zijn: koopkracht, immigratie, energie en stikstof. Joost @Eerdmans vertelt: deze verkiezing wordt een referendum over Rutte IV, met een stem op JA21 laat u zien dat het écht anders moet. https://t.co/CITAcIlzdu",yes,opposition,right,conservative
152,CDA,2023,2023-01-30,Wij vertegenwoordigen jong én oud. Dat zie je terug op onze kandidatenlijsten voor de verkiezingen van 15 maart. Provincies: 627 kandidaten 101 jongeren116 ouderenWaterschappen:480 kandidaten45 jongeren139 ouderen#minderikmeerwij https://t.co/yqmNbHeec0,no,coalition,middle,conservative
153,GroenLinks,2022,2022-09-06,@RookieCrptRoost @PvdA Sterker nog: niet alleen oppositiepartijen! We roepen iedereen die iets wil doen aan de armoede op om zich achter dit plan te scharen.Maar dat we graag samen optrekken met de PvdA is hopelijk geen nieuws. 😉,no,opposition,left,progressive
154,BBB,2022,2022-08-19,"De nieuwste vooruitzichten van het CPB: ruim 1,4 miljoen mensen in armoede, bijna 10% van de Nederlandse kinderen in armoede!1/7https://t.co/xA5l5qKyjv",yes,opposition,right,conservative
155,DENK,2022,2022-02-15,"Wanneer je het niet kunnen winnen op de inhoud, ga je over op framen! JA21 (zit Eerdmans daar nog?) wordt gecorrigeerd door @StephanvBaarle #framen #framen #framen https://t.co/aW2IugnWTv",no,opposition,left,progressive
156,PvdD,2022,2022-10-12,"Terwijl steeds meer burgers de energierekeningen niet meer kunnen betalen, vliegen de rijksten onbeperkt naar hun jacht 🛩🛥De grootste uitstoters moeten ook het meeste bijdragen aan klimaatactie!PvdD-Kamerlid @LammertvanRaan in het @ADnl👇https://t.co/VlHbxc0IK7",no,opposition,left,progressive
157,D66,2022,2022-03-14,"De extremen bepalen vaak het politieke debat. Terwijl het extremisme geen oplossing biedt voor je buurt, je dorp of je stad. En het is slecht voor onze democratie.Wij bieden een wenkend perspectief: groenere gemeentes, beter onderwijs en een fijn thuis voor iedereen.#stemd66 https://t.co/GLbQq2TofN",no,coalition,middle,progressive
158,PvdD,2022,2022-03-04,"@LindavanLeeuwe8 Dankjewel voor je donatie, en jazeker, komt helemaal goed 💚",no,opposition,left,progressive
159,FvD,2022,2022-03-15,Morgen is er één kans op verandering: stem #FVD! https://t.co/qQ5pifxvCk,yes,opposition,right,conservative
160,D66,2022,2022-06-15,@SjorsHoevenaars Nederland produceert per hectare gemiddeld 4x zoveel stikstof als de rest van Europa. Dat komt onder andere doordat we een dichtbevolkt land zijn met veel intensieve landbouw. ^Kim,no,coalition,middle,progressive
161,VVD,2023,2023-02-17,We moeten doen wat nodig is om georganiseerde misdaad aan te pakken en ons land veilig te houden. Minister van Justitie en Veiligheid @DilanYesilgoz over de internationale aanpak van drugscriminaliteit bij Op1. 👇 https://t.co/H59SJIFGRC,no,coalition,right,conservative
162,FvD,2022,2022-12-31,De overheid heeft een obsessie met “gezondheid”. En daarom worden “ongezonde” producten extra zwaar belast. Zo wordt in 2023 de suikertaks nog verder verhoogd. #FVD vindt dat de overheid zich niet moet bemoeien met wat we eten en drinken. Steun ons! 👉🏼 https://t.co/x0kC6zRB1j https://t.co/UoOma7y1e7,yes,opposition,right,conservative
163,DENK,2022,2022-03-10,Nederland is inmiddels echt wel klaar met het coronapaspoort. Zowel qua gebruik binnen Nederland als in de rest van Europa. Stop die pas en veeg het definitief van tafel! #DENKvooriedereen #stemDENK #Corona #Kuipers https://t.co/odn7XNkl5G,no,opposition,left,progressive
164,BBB,2022,2022-11-21,"Studenten kunnen nu al niet rondkomen.Studierente toch wél omhoog, geen energietoeslag en het prijsplafond telt niet mee voor studentenhuizen..Maar van de minister moet je hem op je blote knieën bedanken...#stemzeweg #ps23",yes,opposition,right,conservative
165,JA21,2022,2022-10-24,"De nu al onhoudbare asielinstroom zal de komende jaren nog verder oplopen. Het enige dat het kabinet doet is smijten met honderden miljoenen voor extra opvang en gemeenten met een #dwangwet dwingen tot opvang. Dit moet stoppen. Nú een asielstop, daarna Deens model. #Asielzoekers https://t.co/b15i1fcScH",yes,opposition,right,conservative
166,CDA,2023,2023-03-03,"Aan partijen met stoere uitspraken over ""pruttelende provincies"" hebben we niets. We moeten provincies de mogelijkheden geven om aan de slag te gaan. #RadioDebat https://t.co/gKGIlQqlQN",no,coalition,middle,conservative
167,PVV,2022,2022-07-21,PvdA: 9 zetels in de Tweede Kamer en ruim 50 burgemeesters.PVV: 17 zetels in de Tweede Kamer en 0 burgemeesters.Het systeem is verrot.Het wordt tijd voor PVV burgemeesters.En dus voor de door het volk gekozen burgemeester! https://t.co/Zkjo7ozv2M via @telegraaf,yes,opposition,right,conservative
168,BBB,2023,2023-03-10,@HansKnapen @SGPGelderland We hebben uitgelegd waarom we het niet van onze website halen. Ook wij hebben principes 😉,yes,opposition,right,conservative
169,DENK,2022,2022-02-08,Ons Kamerlid @tunahankuzu in gesprek met Omar van https://t.co/1c4mLwWsi9 https://t.co/fKKuOTlR32,no,opposition,left,progressive
170,BIJ1,2022,2022-02-02,Volledige bijdrage ⬇️https://t.co/3B8dZm66mF,no,opposition,left,progressive
171,BBB,2022,2022-09-13,@mdradvies @MrAndiamo @FranckPeeters @JuisteAntwoord Nou vertel dan maar waar je ons wel plaatst.,yes,opposition,right,conservative
172,BBB,2022,2022-06-08,"Hier het interview met Leen Hordijk, mede over het aanpassen van de Wet Natuurbescherming. #stikstof #vragenuurtje 3/3 https://t.co/FWyNswBF0g",yes,opposition,right,conservative
173,FvD,2023,2023-03-05,Nederlandse politici moeten er zijn voor de Nederlanders. Eens? Stem #FVD 15 maart. https://t.co/hoFu07XpoC,yes,opposition,right,conservative
174,Volt,2022,2022-12-19,In 2018 werd NL op de vingers getikt door de anti-corruptiewaakhond. Tot nu toe werd er weinig actie ondernomen om de #integriteit van ons bestuur te verbeteren.Wij schreven een initiatiefnota vol voorstellen. Morgen stemt de Kamer. #Volt 2/2 https://t.co/UL3tbQTI2c,no,opposition,middle,progressive
175,BBB,2022,2022-12-21,@uncle_sjohie @cdavandaag Daar gaat dit debat niet over. Dit debat gaat over mogelijke netwerkcorruptie.,yes,opposition,right,conservative
176,JA21,2023,2023-03-02,"Vanavond strijkt de JA21-Campagnetour neer in Leeuwarden! Met @NickiVerweij , @FloorvanScherp en onze lijsttrekker in Fryslân @MGoudzwaard058 ! Volg dit draadje voor live updates! 🧵👇 https://t.co/TZZAza9bNb",yes,opposition,right,conservative
177,BBB,2022,2022-02-17,'Het is alsof iemand 15.000 euro van je leent en dan na 2 jaar 10.000 euro teruggeeft. En dan zegt hij erbij: 'Ben je niet blij dat ik je wat geld heb teruggegeven?' @lientje1967 in het #Coronadebat 👇🏻 Hele video: https://t.co/5w6t6bQsho https://t.co/IqjZkWOlS5,yes,opposition,right,conservative
